URL,TITLE,PATH,HASH,HASH_HEX,COLLAGE_PATH,BITS_IN_HASH,FINGER_PRINT
,,E:/GitHub/video_similarity_tester/src/cache/0.mp4,0b0000100111110110111101101111011011111111000011111111000000000000,0x9f6f6f6ff0ff000,C:\Users\dachu\AppData\Local\Temp\tmpdcj7rqn5\temp_storage_dir\MoT7x2jafbBGDp6pVJKL\collage\collage.jpg,64,bbBnnnnn
,,E:/GitHub/video_similarity_tester/src/cache/1.mp4,0b0000100111110110111101101111011011111111001111111100000000000000,0x9f6f6f6ff3fc000,C:\Users\dachu\AppData\Local\Temp\tmpk_d_j5dm\temp_storage_dir\qFdlANOcDqmjH9KMchQM\collage\collage.jpg,64,BbbbbbB
,,E:/GitHub/video_similarity_tester/src/cache/2.mp4,0b0000000010010100101101001011010001101011000000001000000010000000,0x94b4b46b008080,C:\Users\dachu\AppData\Local\Temp\tmpce_3jjzd\temp_storage_dir\IDIda7zHEasvaAbHGNq7\collage\collage.jpg,64,bbbbNBbNnnbBnNnnnnNnn
,,E:/GitHub/video_similarity_tester/src/cache/3.mp4,0b0000100110110010111101101011011000001001111111111111000000000000,0x9b2f6b609fff000,C:\Users\dachu\AppData\Local\Temp\tmp53ppqlov\temp_storage_dir\qLwFLDxS5WX3pCiNNLdw\collage\collage.jpg,64,nnNnnnnNnnn
,,E:/GitHub/video_similarity_tester/src/cache/4.mp4,0b0001100100000000111101101011011010001101011110111111000000000000,0x1900f6b68d7bf000,C:\Users\dachu\AppData\Local\Temp\tmp06lflqg0\temp_storage_dir\iKYwpZntqqaNo4TwnjDu\collage\collage.jpg,64,NnnnNBnnnnb
,,E:/GitHub/video_similarity_tester/src/cache/5.mp4,0b0000100100001001111101101111011010000111110000101100000000000000,0x909f6f687c2c000,C:\Users\dachu\AppData\Local\Temp\tmp2z6hnkzc\temp_storage_dir\YdlCfO8xV2Ne1mKfSkaF\collage\collage.jpg,64,rrRrrrR
,,E:/GitHub/video_similarity_tester/src/cache/6.mp4,0b0101010101010101101010101010101001010101010101011010101010101010,0x5555aaaa5555aaaa,C:\Users\dachu\AppData\Local\Temp\tmpilxq8bh5\temp_storage_dir\FF808iVDug4sRdFcVDLS\collage\collage.jpg,64,nnNNnNNnnnnnnnnNnnNn
,,E:/GitHub/video_similarity_tester/src/cache/7.mp4,0b0000000010010110101010101110101101010101010101011000000010000000,0x96aaeb55558080,C:\Users\dachu\AppData\Local\Temp\tmpceqk_95b\temp_storage_dir\kmyjtNdHoyCYGrjsv6bx\collage\collage.jpg,64,BbBNnbnNNNNnnBnbB
,,E:/GitHub/video_similarity_tester/src/cache/8.mp4,0b0010001100110011110011001101110000111011000100111100110000000000,0x2333ccdc3b13cc00,C:\Users\dachu\AppData\Local\Temp\tmp4mfx8_kh\temp_storage_dir\PWFdzJ0PZs2XX3vkb8ju\collage\collage.jpg,64,nnnnnN
